Opened,Open,High,Low,Close,Volume
2021-05-12 00:00:00,143.015,143.873,142.886,143.832,8531.7
2021-05-12 00:05:00,143.832,143.876,142.722,143.002,12412.8
2021-05-12 00:10:00,143.013,143.074,142.508,142.699,8786.2
2021-05-12 00:15:00,142.699,143.294,142.624,143.245,5540.3
2021-05-12 00:20:00,143.233,143.745,143.233,143.715,3495.6
2021-05-12 00:25:00,143.698,145.104,143.624,144.900,17983.8
2021-05-12 00:30:00,144.887,145.004,143.784,144.426,13830.6
2021-05-12 00:35:00,144.387,144.460,143.815,144.033,5387.5
2021-05-12 00:40:00,144.011,144.471,143.959,144.063,3181.5
2021-05-12 00:45:00,144.063,145.072,143.862,145.063,6148.6
2021-05-12 00:50:00,145.073,145.249,144.590,144.666,8857.0
2021-05-12 00:55:00,144.676,144.815,144.372,144.789,6501.0
2021-05-12 01:00:00,144.791,145.765,144.582,145.738,13681.1
2021-05-12 01:05:00,145.738,145.738,144.925,144.962,9989.2
2021-05-12 01:10:00,144.959,145.475,144.850,144.902,6976.0
2021-05-12 01:15:00,144.884,144.933,143.864,144.384,9162.3
2021-05-12 01:20:00,144.392,144.597,144.046,144.199,5324.6
2021-05-12 01:25:00,144.209,144.265,143.591,143.691,11033.6
2021-05-12 01:30:00,143.691,143.980,143.532,143.682,6021.1
2021-05-12 01:35:00,143.683,143.960,143.500,143.530,6121.5
2021-05-12 01:40:00,143.538,143.540,142.340,142.387,10401.0
2021-05-12 01:45:00,142.403,142.830,141.835,142.554,18685.7
2021-05-12 01:50:00,142.554,143.161,142.520,142.741,9038.9
2021-05-12 01:55:00,142.755,143.000,142.679,142.897,4274.4
2021-05-12 02:00:00,142.879,143.119,142.452,143.035,7515.4
2021-05-12 02:05:00,143.036,143.477,142.797,143.427,7465.0
2021-05-12 02:10:00,143.439,143.632,143.025,143.244,4543.2
2021-05-12 02:15:00,143.219,143.509,142.930,142.958,6784.9
2021-05-12 02:20:00,142.957,143.204,142.688,143.038,8514.4
2021-05-12 02:25:00,143.049,143.397,142.885,143.334,5545.4
2021-05-12 02:30:00,143.333,143.939,143.333,143.503,6687.4
2021-05-12 02:35:00,143.516,143.664,143.312,143.426,4550.6
2021-05-12 02:40:00,143.423,143.640,143.184,143.505,3848.7
2021-05-12 02:45:00,143.510,143.644,143.226,143.340,8600.9
2021-05-12 02:50:00,143.340,143.365,143.012,143.075,4822.7
2021-05-12 02:55:00,143.075,143.482,143.053,143.482,2547.5
2021-05-12 03:00:00,143.482,143.500,142.985,143.021,6223.2
2021-05-12 03:05:00,143.029,143.403,142.966,143.347,3831.2
2021-05-12 03:10:00,143.357,143.478,143.125,143.320,4307.6
2021-05-12 03:15:00,143.320,143.322,143.106,143.135,2134.1
2021-05-12 03:20:00,143.112,143.157,142.688,143.008,4412.0
2021-05-12 03:25:00,143.007,143.578,143.007,143.514,5508.7
2021-05-12 03:30:00,143.515,144.000,143.501,143.563,6370.0
2021-05-12 03:35:00,143.565,144.116,143.556,143.999,7622.1
2021-05-12 03:40:00,143.998,144.256,143.690,144.224,10419.3
2021-05-12 03:45:00,144.214,144.756,143.876,144.313,9727.2
2021-05-12 03:50:00,144.317,145.024,144.312,144.978,10942.2
2021-05-12 03:55:00,144.990,145.084,144.642,144.846,8431.4
2021-05-12 04:00:00,144.852,144.960,143.118,143.701,33999.2
2021-05-12 04:05:00,143.701,144.121,143.556,144.037,6561.5
2021-05-12 04:10:00,144.041,144.121,143.778,144.084,6458.8
2021-05-12 04:15:00,144.080,144.197,143.812,144.136,5130.0
2021-05-12 04:20:00,144.115,144.706,144.098,144.413,6687.2
2021-05-12 04:25:00,144.427,144.600,144.152,144.180,3555.0
2021-05-12 04:30:00,144.183,144.217,143.968,144.036,7882.7
2021-05-12 04:35:00,144.042,144.057,143.850,143.915,7104.0
2021-05-12 04:40:00,143.915,143.995,143.220,143.506,11716.8
2021-05-12 04:45:00,143.473,143.736,143.177,143.710,5635.7
2021-05-12 04:50:00,143.716,143.753,143.318,143.320,5980.0
2021-05-12 04:55:00,143.332,143.378,142.658,142.919,13194.1
2021-05-12 05:00:00,142.920,143.600,142.920,143.545,10761.4
2021-05-12 05:05:00,143.568,144.447,143.302,144.104,18828.2
2021-05-12 05:10:00,144.086,144.122,143.768,143.900,4094.3
2021-05-12 05:15:00,143.871,144.400,143.787,144.366,5175.5
2021-05-12 05:20:00,144.354,144.399,143.792,144.113,8293.6
2021-05-12 05:25:00,144.111,144.396,143.974,144.127,4778.0
2021-05-12 05:30:00,144.127,144.216,143.287,144.080,13543.7
2021-05-12 05:35:00,144.080,144.553,144.080,144.232,7819.1
2021-05-12 05:40:00,144.222,144.281,143.932,143.977,3142.1
2021-05-12 05:45:00,143.986,144.009,142.995,143.184,15372.8
2021-05-12 05:50:00,143.181,143.264,142.771,142.777,11467.3
2021-05-12 05:55:00,142.776,143.034,142.645,142.751,10049.4
2021-05-12 06:00:00,142.774,143.174,142.683,142.821,7900.1
2021-05-12 06:05:00,142.840,142.840,142.387,142.489,6937.2
2021-05-12 06:10:00,142.487,142.693,142.447,142.488,3327.2
2021-05-12 06:15:00,142.497,142.711,142.152,142.684,6437.1
2021-05-12 06:20:00,142.688,142.777,141.574,141.660,10873.7
2021-05-12 06:25:00,141.646,142.347,141.213,142.103,18100.1
2021-05-12 06:30:00,142.105,142.699,142.105,142.486,5356.7
2021-05-12 06:35:00,142.474,142.520,142.149,142.471,3403.5
2021-05-12 06:40:00,142.471,142.499,141.712,142.021,7926.8
2021-05-12 06:45:00,142.024,142.156,141.641,142.009,3497.7
2021-05-12 06:50:00,142.003,142.269,141.832,142.070,3946.5
2021-05-12 06:55:00,142.069,142.086,141.340,141.663,7407.3
2021-05-12 07:00:00,141.663,142.379,141.638,142.157,12842.5
2021-05-12 07:05:00,142.137,142.137,141.653,141.687,4753.0
2021-05-12 07:10:00,141.659,141.843,141.398,141.699,4793.7
2021-05-12 07:15:00,141.709,142.350,141.709,142.170,5134.4
2021-05-12 07:20:00,142.187,142.312,142.028,142.219,3913.0
2021-05-12 07:25:00,142.219,142.298,142.082,142.154,2145.3
2021-05-12 07:30:00,142.154,142.190,141.971,141.998,1590.4
2021-05-12 07:35:00,141.995,142.139,141.899,142.124,2558.7
2021-05-12 07:40:00,142.123,142.395,142.098,142.208,3929.7
2021-05-12 07:45:00,142.208,142.227,141.369,142.087,11839.5
2021-05-12 07:50:00,142.083,142.603,141.915,142.276,5894.6
2021-05-12 07:55:00,142.249,142.341,141.858,141.948,3169.4
2021-05-12 08:00:00,141.951,142.378,141.808,142.254,6197.4
2021-05-12 08:05:00,142.277,142.281,141.399,141.400,6191.1
2021-05-12 08:10:00,141.400,141.626,140.817,140.918,13689.7
2021-05-12 08:15:00,140.951,141.652,140.951,141.632,6055.7
2021-05-12 08:20:00,141.650,141.790,141.044,141.084,4378.3
2021-05-12 08:25:00,141.092,141.186,140.510,140.563,11332.9
2021-05-12 08:30:00,140.575,141.517,140.575,141.453,6131.4
2021-05-12 08:35:00,141.456,141.831,141.059,141.222,4317.1
2021-05-12 08:40:00,141.217,141.234,140.786,140.940,3478.1
2021-05-12 08:45:00,140.938,141.451,140.900,141.254,4194.8
2021-05-12 08:50:00,141.255,141.445,141.083,141.395,2191.8
2021-05-12 08:55:00,141.394,141.624,141.325,141.618,2587.6
2021-05-12 09:00:00,141.624,141.805,141.359,141.570,8080.1
2021-05-12 09:05:00,141.573,141.965,141.573,141.844,2720.9
2021-05-12 09:10:00,141.855,141.860,141.385,141.412,3882.4
2021-05-12 09:15:00,141.413,141.500,141.305,141.401,3338.7
